Latitude,Longitude,UTC,Parameter,Unit,AQI,Category,SiteName,AgencyName,FullAQSCode,IntlAQSCode,region,source,data_type,city
43.257444,-79.90775,2025-05-23T00:00,OZONE,PPB,11,1,Hamilton West,Ontario Ministry of the Environment,000060515,124000060515,Canada,AirNow,historical,Toronto
43.257444,-79.90775,2025-05-23T00:00,PM2.5,UG/M3,7,1,Hamilton West,Ontario Ministry of the Environment,000060515,124000060515,Canada,AirNow,historical,Toronto
43.257444,-79.90775,2025-05-23T00:00,NO2,PPB,6,1,Hamilton West,Ontario Ministry of the Environment,000060515,124000060515,Canada,AirNow,historical,Toronto
43.24132,-79.889328,2025-05-23T00:00,OZONE,PPB,12,1,Hamilton Mountain,Ontario Ministry of the Environment,124000060521,124000060521,Canada,AirNow,historical,Toronto
43.24132,-79.889328,2025-05-23T00:00,PM2.5,UG/M3,9,1,Hamilton Mountain,Ontario Ministry of the Environment,124000060521,124000060521,Canada,AirNow,historical,Toronto
43.24132,-79.889328,2025-05-23T00:00,NO2,PPB,2,1,Hamilton Mountain,Ontario Ministry of the Environment,124000060521,124000060521,Canada,AirNow,historical,Toronto
43.52965,-79.862449,2025-05-23T00:00,PM2.5,UG/M3,24,1,Milton,Ontario Ministry of the Environment,124000067001,124000067001,Canada,AirNow,historical,Toronto
43.52965,-79.862449,2025-05-23T00:00,NO2,PPB,12,1,Milton,Ontario Ministry of the Environment,124000067001,124000067001,Canada,AirNow,historical,Toronto
43.52965,-79.862449,2025-05-23T00:00,OZONE,PPB,12,1,Milton,Ontario Ministry of the Environment,124000067001,124000067001,Canada,AirNow,historical,Toronto
43.257778,-79.861667,2025-05-23T00:00,OZONE,PPB,10,1,Hamilton Downtown,Ontario Ministry of the Environment,000060512,124000060512,Canada,AirNow,historical,Toronto
43.257778,-79.861667,2025-05-23T00:00,NO2,PPB,7,1,Hamilton Downtown,Ontario Ministry of the Environment,000060512,124000060512,Canada,AirNow,historical,Toronto
43.314603,-79.80277,2025-05-23T00:00,PM2.5,UG/M3,19,1,Burlington,Ontario Ministry of the Environment,000063001,124000063001,Canada,AirNow,historical,Toronto
43.314603,-79.80277,2025-05-23T00:00,OZONE,PPB,11,1,Burlington,Ontario Ministry of the Environment,000063001,124000063001,Canada,AirNow,historical,Toronto
43.314603,-79.80277,2025-05-23T00:00,NO2,PPB,8,1,Burlington,Ontario Ministry of the Environment,000063001,124000063001,Canada,AirNow,historical,Toronto
44.2325,-79.7814,2025-05-23T00:00,OZONE,PPB,22,1,Egbert,Canadian Air and Precipitation Monitoring Network,000064401,124000064401,Canada,AirNow,historical,Unknown
