no2_tropospheric_column,no2_stratospheric_column,quality_flag,latitude,longitude,time,solar_zenith_angle,no2_total_column,cloud_fraction,surface_pressure,filename
,,2.0,57.727295,-88.40705,2025-05-25 11:01:31.488778496,78.6,,,,TEMPO_NO2_L2_V03_20250525T110113Z_S001G05.nc
,,2.0,57.691734,-88.409676,2025-05-25 11:01:34.521852416,78.61434,,,,TEMPO_NO2_L2_V03_20250525T110113Z_S001G05.nc
,,2.0,57.656235,-88.412285,2025-05-25 11:01:37.554928640,78.62866,,,,TEMPO_NO2_L2_V03_20250525T110113Z_S001G05.nc
,,2.0,57.620785,-88.41489,2025-05-25 11:01:40.587994624,78.64296,,,,TEMPO_NO2_L2_V03_20250525T110113Z_S001G05.nc
,,2.0,57.585396,-88.41747,2025-05-25 11:01:43.621065728,78.65724,,,,TEMPO_NO2_L2_V03_20250525T110113Z_S001G05.nc
440300117642316.3,3012519566403797.0,1.0,57.550053,-88.42005,2025-05-25 11:01:46.654234624,78.6715,3383894098393909.0,1.0,1028.9083,TEMPO_NO2_L2_V03_20250525T110113Z_S001G05.nc
659074720129247.1,3012979154681851.5,1.0,57.51477,-88.42263,2025-05-25 11:01:49.687208704,78.685745,3522433265706623.0,1.0,1028.9083,TEMPO_NO2_L2_V03_20250525T110113Z_S001G05.nc
393148345114543.6,3018508876075370.5,1.0,57.479538,-88.425186,2025-05-25 11:01:52.720279808,78.69997,3360403093115025.5,1.0,1028.9083,TEMPO_NO2_L2_V03_20250525T110113Z_S001G05.nc
495849948419620.4,3018477851448664.0,1.0,57.444363,-88.42774,2025-05-25 11:01:55.753354496,78.71417,3425210751447001.0,1.0,1028.9083,TEMPO_NO2_L2_V03_20250525T110113Z_S001G05.nc
662214949945117.9,3019878185589414.0,1.0,57.409233,-88.43028,2025-05-25 11:01:58.786429696,78.72836,3530992617238898.0,1.0,1028.9083,TEMPO_NO2_L2_V03_20250525T110113Z_S001G05.nc
