heric_coluno2_tropospmn,no2_stratospheric_column,quality_flag,latitude,longitude,time,solar_zenith_angle,no2_total_column,cloud_fraction,surface_pressure,filename
,,2.0,58.27215,-111.282,2025-05-22 14:56:23.081108480,60.291378,,,,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
,,2.0,58.234756,-111.25741,2025-05-22 14:56:26.114180608,60.272774,,,,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
,,2.0,58.197384,-111.23289,2025-05-22 14:56:29.147258624,60.254196,,,,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
,,2.0,58.159985,-111.2084,2025-05-22 14:56:32.180323584,60.235615,,,,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
,,2.0,58.122635,-111.184,2025-05-22 14:56:35.213395712,60.217075,,,,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
4855211404733841.0,3032034581689907.0,0.0,58.085304,-111.15967,2025-05-22 14:56:38.246470656,60.198563,5400816156669877.0,0.31194356,974.30096,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
4201930082026178.0,3031227996119145.0,0.0,58.048115,-111.135506,2025-05-22 14:56:41.279540480,60.180145,5283444095486962.0,0.40894103,973.1245,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
5498917835304689.0,3030248053779426.0,0.0,58.010826,-111.11133,2025-05-22 14:56:44.312614656,60.16169,4809286496818798.0,0.45160127,979.34186,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
2224466906970703.5,3028933485529205.0,0.0,57.9742,-111.08773,2025-05-22 14:56:47.345696768,60.143627,4415921749574634.0,0.48010442,980.7606,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
3558434822848296.0,3028002308390100.0,0.0,57.93733,-111.06399,2025-05-22 14:56:50.378762496,60.12544,4556976720858408.0,0.49225852,980.0508,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
2466542618393952.0,3026849590779242.0,0.0,57.90054,-111.04036,2025-05-22 14:56:53.411828480,60.10731,4485805780741030.0,0.4846363,979.93286,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
1346654886105642.0,3025523095170342.0,0.0,57.863346,-111.01646,2025-05-22 14:56:56.444901632,60.088963,4564631277801450.0,0.54067606,978.47864,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
4626318371561971.0,3024515446942197.5,0.0,57.826607,-110.99297,2025-05-22 14:56:59.477977600,60.07089,4857748652320063.0,0.565005,977.65204,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
6523602077124719.0,3022810735174158.5,0.0,57.789997,-110.96965,2025-05-22 14:57:02.511045632,60.052914,4994480793258232.0,0.5953774,977.65204,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
4583959586686600.0,3021689148474134.0,0.0,57.753586,-110.946526,2025-05-22 14:57:05.544117760,60.035057,4835841676801455.0,0.57675046,978.12463,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
8969079476621041.0,3020663085012211.5,0.0,57.717155,-110.92344,2025-05-22 14:57:08.577189632,60.017204,5195302048226874.0,0.59714216,978.8332,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
3587646937107559.5,3018559658981996.0,0.0,57.68058,-110.90029,2025-05-22 14:57:11.610267648,59.999287,4740453979075975.0,0.61034113,978.71515,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
-853056419429522.9,3017422082991039.0,0.0,57.644115,-110.87727,2025-05-22 14:57:14.643334656,59.981445,4285207643131621.5,0.58411634,978.5967,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
3872139559003773.0,3016004993742111.5,0.0,57.607758,-110.854385,2025-05-22 14:57:17.676412672,59.963676,4276024558984467.0,0.5786581,979.93115,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
-771747088205675.5,3014104995669116.0,0.0,57.570778,-110.83106,2025-05-22 14:57:20.709485568,59.945564,3744896161970341.5,0.52916473,976.1526,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
3673054502501836.5,3012911931235680.0,0.0,57.533993,-110.80793,2025-05-22 14:57:23.742557440,59.927574,4294430511000614.0,0.4689251,973.09186,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
-647087566928348.1,3011632837986622.0,0.0,57.49782,-110.78535,2025-05-22 14:57:26.775622656,59.909958,3755623887841792.0,0.5303441,972.2689,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
3585462786199438.5,3010384802265178.0,0.0,57.461994,-110.76308,2025-05-22 14:57:29.808695552,59.89255,4216157869540690.5,0.5976012,970.3904,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
4119796016065494.0,3009442615268933.5,0.0,57.425846,-110.7406,2025-05-22 14:57:32.841767424,59.87497,4188712976027321.5,0.6604927,966.99255,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
1861775868614980.0,3009156877318166.0,0.0,57.3895,-110.71801,2025-05-22 14:57:35.874839552,59.85729,4004788203672187.0,0.7185212,967.2269,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
2934777606052230.5,3008203408525661.5,0.0,57.352165,-110.694695,2025-05-22 14:57:38.907916544,59.839058,4214054086738699.5,0.76490414,967.5068,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
1558624384128908.2,3007060887901292.0,0.0,57.316067,-110.67239,2025-05-22 14:57:41.940985600,59.821545,4070072987805094.0,0.7736815,961.65875,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
-158182490541740.9,3007185662115614.5,0.0,57.280045,-110.65021,2025-05-22 14:57:44.974052608,59.804092,3933559597936211.5,0.7748022,955.1423,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
972228364933234.2,3006208191570046.0,0.0,57.24419,-110.62819,2025-05-22 14:57:48.007123712,59.78675,4027448307150742.0,0.7809331,952.3601,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
4108246477766252.5,3005375353491852.5,0.0,57.208538,-110.60638,2025-05-22 14:57:51.040201728,59.769535,4028885809734167.0,0.7815554,953.37726,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
-1336225979621043.0,3005147090072353.0,0.0,57.172527,-110.58433,2025-05-22 14:57:54.073267712,59.752125,3568636325587339.5,0.7886426,953.26154,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
1267488953714204.8,3004013891909000.0,0.0,57.13543,-110.56148,2025-05-22 14:57:57.106338560,59.73411,3786773597113251.5,0.7860143,951.8728,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
753895779622706.9,3003852320432407.5,0.0,57.09945,-110.53954,2025-05-22 14:58:00.139411712,59.71675,3793291331946344.5,0.789307,953.38855,TEMPO_NO2_L2_V03_20250522T145605Z_S006G07.nc
